Id,Entrada,Surco,Norte,Este,Latitud,Longitud,n_tallos,t_daño,p_daño
67,E7,S36,935211.8761,1089607.529,4.00991054,-76.27061419,13,6,0.46154
68,E8,S42,935217.4071,1089609.375,4.009960537,-76.27059752,19,4,0.21053
69,E9,S48,935222.9421,1089614.922,4.010010537,-76.27054752,12,5,0.41667
70,E10,S54,935228.4751,1089618.619,4.010060535,-76.27051419,11,4,0.36364
71,E11,S60,935234.0031,1089616.762,4.010110538,-76.27053086,20,7,0.35
72,E12,S66,935239.5351,1089618.608,4.010160544,-76.27051419,13,5,0.38462
73,E1,S1,935182.5945,1089583.551,4.009645979,-76.27083035,12,2,0.16667
74,E2,S6,935186.2825,1089585.398,4.009679311,-76.27081369,10,3,0.3
75,E3,S12,935191.8165,1089589.095,4.009729318,-76.27078035,10,0,0
76,E4,S18,935197.3475,1089590.94,4.009779315,-76.27076369,14,2,0.14286
77,E5,S24,935202.8785,1089592.786,4.009829312,-76.27074702,17,4,0.23529
78,E6,S30,935210.2535,1089594.63,4.009895983,-76.27073035,14,4,0.28571
79,E7,S36,935215.7865,1089598.326,4.009945981,-76.27069702,13,4,0.30769
80,E8,S42,935221.3175,1089600.172,4.009995978,-76.27068035,17,7,0.41176
81,E9,S48,935226.8525,1089605.719,4.010045978,-76.27063035,17,4,0.23529
82,E10,S54,935232.3855,1089609.416,4.010095976,-76.27059702,16,8,0.5
83,E11,S60,935237.9135,1089607.559,4.010145979,-76.27061369,22,7,0.31818
84,E12,S66,935243.4455,1089609.405,4.010195985,-76.27059702,11,5,0.45455
85,E2,S6,935190.193,1089576.194,4.009714753,-76.27089653,12,2,0.16667
86,E3,S12,935195.727,1089579.891,4.00976476,-76.27086319,12,3,0.25
87,E4,S18,935201.258,1089581.736,4.009814757,-76.27084653,8,0,0
88,E5,S24,935206.789,1089583.582,4.009864754,-76.27082986,9,2,0.22222
89,E6,S30,935214.164,1089585.426,4.009931425,-76.27081319,16,5,0.3125
90,E7,S36,935219.697,1089589.122,4.009981423,-76.27077986,12,4,0.33333
91,E8,S42,935225.228,1089590.968,4.01003142,-76.27076319,14,4,0.28571
92,E9,S48,935230.763,1089596.515,4.01008142,-76.27071319,12,5,0.41667
