id,Entrada,Surco,Norte,Este,Latitud,Longitud,n_tallos,t_daño,p_daño
127,E7,S36,853013.3585,1081204.785,3.26678057,-76.347061,12,2,0.16667
128,E8,S42,853004.14,1081201.087,3.266697236,-76.347094,14,0,0.00000
129,E9,S48,852994.9216,1081197.389,3.266613903,-76.347127,13,1,0.07692
130,E10,S54,852985.7046,1081195.544,3.26653057,-76.347144,13,2,0.15385
131,E11,S60,852976.4876,1081193.698,3.266447236,-76.347161,12,0,0.00000
132,E12,S66,852965.426,1081190.002,3.266347236,-76.347194,16,1,0.06250
133,E1,S1,853071.5756,1081211.847,3.267306959,-76.346997,12,1,0.08333
134,E2,S6,853064.1989,1081206.295,3.267240293,-76.347047,11,1,0.09091
135,E3,S12,853053.1402,1081206.304,3.267140293,-76.347047,16,1,0.06250
136,E4,S18,853045.7634,1081200.752,3.267073625,-76.347097,7,0,0.00000
137,E5,S24,853034.7033,1081198.908,3.266973625,-76.347113,13,0,0.00000
138,E6,S30,853027.3295,1081197.062,3.26690696,-76.347130,16,0,0.00000
139,E7,S36,853016.2694,1081195.218,3.26680696,-76.347147,18,1,0.05556
140,E8,S42,853007.0509,1081191.52,3.266723625,-76.347180,9,3,0.33333
141,E9,S48,852997.8325,1081187.822,3.266640292,-76.347213,15,0,0.00000
142,E10,S54,852988.6155,1081185.977,3.266556959,-76.347230,13,0,0.00000
143,E11,S60,852979.3985,1081184.131,3.266473626,-76.347247,12,0,0.00000
144,E12,S66,852968.3369,1081180.435,3.266373625,-76.347280,15,0,0.00000
